Name;PKD_2007;PKD_2007_all;description_PL;description_EN;source
EFFECTOR;2512;2223 , 2511 , 2561 , 4673 ;Start / EFFECTOR TA STRONA UŻYWA COOKIES Informujemy, że nasza strona może dostosowywać treści reklamowe do Twoich zainteresowań i preferencji. Jest to możliwe dzięki przechowywaniu plików cookies oraz podobnych technologii w Twoim urządzeniu końcowym oraz przetwarzaniu Twoich danych przez Effector S. A. (administratora), w celach analitycznych i statystycznych oraz personalizacji treści marketingowych. Co zyskujesz? Korzystanie z naszej strony i jej funkcjonalności jest dla Ciebie bardziej komfortowe, a wyświetlane reklamy są bardziej dopasowane do Twoich potrzeb. Jeśli chcesz ograniczyć lub zablokować tego rodzaju przetwarzanie, możesz dokonać tego w każdej chwili za pomocą ustawień Twojej przeglądarki internetowej . Szczegółowe informacje w tym zakresie znajdziesz w ustawieniach przeglądarki internetowej, z której korzystasz oraz w naszej polityce prywatności. Informujemy, że klikając „akceptuj” bez zmiany ustawień prywatności w Twojej przeglądarce, wyrażasz dobrowolnie zgodę na przechowywanie w Twoim urządzeniu końcowym plików cookies i innych podobnych technologii służących do dopasowywania treści marketingowych oraz na korzystanie z informacji w nich zapisanych przez Effector S. A. Więcej na temat zasad przetwarzania przez nas Twoich danych znajdziesz w naszej Polityce prywatności . Kontynuuj bez plików cookies Akceptuj i kontynuuj z niezbędnymi plikami cookies Start Firma Jakość i środowisko Aluminium Szyby zespolone i szkło Społeczna odpowiedzialność biznesu Wydarzenia CSR Współpraca CSR Misja i wizja Dla akcjonariuszy Dofinansowania Effector Dofinansowania Effect Glass RODO Polityka prywatności Polityka prywatności dla kontrahentów Strategia podatkowa Strategia Podatkowa 2020 Strategia Podatkowa 2021 Strategia Podatkowa 2022 Strategia podatkowa 2023 Effectywni dla zdrowia Kariera Aktualności Oferta Listwy wykończeniowe Usługi obróbki aluminium Systemy okienno - drzwiowe Drzwi przesuwne i podnoszono-przesuwne Systemy fasadowe Stolarka przeciwpożarowa Drzwi wejściowe panelowe SZKŁO I SZYBY ZESPOLONE Centrum pobierania Atesty I Certyfikaty Ogólne Galeria O nas Filmy Kontakt Listwy wykończeniowe Szkło/Glass Usługi obróbki aluminium i stolarka aluminiowa Dział promocji, marketingu, pr Sklep Start Firma Jakość i środowisko Aluminium Szyby zespolone i szkło Społeczna odpowiedzialność biznesu Wydarzenia CSR Współpraca CSR Misja i wizja Dla akcjonariuszy Dofinansowania Effector Dofinansowania Effect Glass RODO Polityka prywatności Polityka prywatności dla kontrahentów Strategia podatkowa Strategia Podatkowa 2020 Strategia Podatkowa 2021 Strategia Podatkowa 2022 Strategia podatkowa 2023 Effectywni dla zdrowia Kariera Aktualności Oferta Listwy wykończeniowe Usługi obróbki aluminium SZKŁO I SZYBY ZESPOLONE Centrum pobierania Atesty I Certyfikaty Ogólne Galeria O nas Filmy Kontakt Listwy wykończeniowe Szkło/Glass Usługi obróbki aluminium i stolarka aluminiowa Dział promocji, marketingu, pr Sklep O nas Oferta Aktualności Historia Zakładu effector s.a. sięga 1991 roku. Kiedy rodziła się nasza firma, nie zdawaliśmy sobie sprawy, że prowadzona działalność osiągnie takie rozmiary. Pobierz Osiągnięcia Youtube Facebook Twitter Kontakt Znajdź przedstawiciela Środowisko Kalendarium Listwy wykończeniowe Usługi obróbki aluminium SZKŁO I SZYBY ZESPOLONE 22.08.2025 Warsztaty antydyskryminacyjne 22.08.2025 Warsztaty antydyskryminacyjne 18.10.2024 Ruszył program „EFFECTYWNI DLA ZDROWIA” – nowa inicjatywa prozdrowotna dla pracowników Effector S.A. 18.10.2024 Ruszył program „EFFECTYWNI DLA ZDROWIA” – nowa inicjatywa prozdrowotna dla pracowników Effector S.A. LISTWY WYKOŃCZENIOWE Zobacz listwy.effector.pl USŁUGI OBRÓBKI ALUMINIMUM Zobacz aluminium.effector.pl SZKŁO I SZYBY ZESPOLONE Zobacz glass.effector.pl AKTUALNOŚCI 22.08.2025 Warsztaty antydyskryminacyjne 22.08.2025 Warsztaty antydyskryminacyjne W ramach projektu „Effectywni dla zdrowia” odbyły się warsztaty z zakresu kształtowania postaw antydyskryminacyjnych dla pracowników.. zobacz 18.10.2024 Ruszył program „EFFECTYWNI DLA ZDROWIA” – nowa inicjatywa prozdrowotna dla pracowników Effector S.A. 18.10.2024 Ruszył program „EFFECTYWNI DLA ZDROWIA” – nowa inicjatywa prozdrowotna dla pracowników Effector S.A. Z radością informujemy, że firma Effector S.A. podpisała 24 września 2024 roku umowę na dofinansowanie projektu pod nazwą „Prozdrowotny program dla pracowników Effector S.A. – EFFECTYWNI DLA ZDROWIA” zobacz 04.04.2023 Informacja dotycząca połączenia spółek Effect Glass S.A oraz Effector S.A 04.04.2023 Informacja dotycząca połączenia spółek Effect Glass S.A oraz Effector S.A W związku z nieustannym rozwojem firm Effect Glass S.A. i Effector S.A. oraz zgodnie z wcześniej obraną strategią, postanowiliśmy skonsolidować siły w celu optymalizacji skuteczności prowadzonych działań. zobacz Kontakt ADRES ul. Hauke Bosaka 2, 25-214 Kielce, Polska E-MAIL effector@effector.pl recepcja@effector.pl sekretariat@effector.pl biuro.zarzad@effector.pl TELEFON tel. 41 348 20 70 tel. 41 348 20 72 fax 41 348 20 80 informacje o firmie Witamy na stronie firmy EFFECTOR S. A. - wiodącego producenta w zakresie przetwórstwa aluminium. Zapraszamy do zapoznania się z aktualnościami, produktami oraz możliwościami współpracy. W naszej ofercie znajdują się m.in. listwy wykończeniowe i elementy aranżacji wnętrz, produkty dedykowane wytwórcom stolarki okiennej i drzwiowej, a także szeroki wachlarz usług z zakresu mechanicznej i powierzchniowej obróbki aluminium. download pobierz katalogi produktów Copyright © EFFECTOR Wszelkie prawa zastrzeżone / Realizacja strony:;NULL;BJS_OPIS_01 10 2025_PKD
ZAKŁAD OBRÓBKI DREWNA DREWZAM GRAŻYNA ZAMBRZYCKA;3102;3101 , 3102Z, 3109 , 3511 , 3511Z, 3514Z;Branża: Meble | Produkty: meble na wymiar | Usługi: projektowanie mebli;NULL;BJS_OPIS_01 10 2025_PKD
P.W. ROLET ANDRZEJ STANEK;2223;2223;kielce.com - strona w budowie... nowoczesne usługi hostingowe Nowa strona pojawi się tutaj już wkrótce. Strona www w trakcie budowy... kielce.com szybki i niezawodny hosting w chmurze;NULL;BJS_OPIS_01 10 2025_PKD
NULL;3032;NULL;produkcją wiropłatów o ruchomych silnikach typu tiltrotor dla wojska.;NULL;Dane_syntetyczne_1
NULL;3032;NULL;produkcją dronów do celów wojskowych (UAV).;NULL;Dane_syntetyczne_1
NULL;3032;NULL;remontami fabrycznymi wojskowych statków powietrznych.;NULL;Dane_syntetyczne_1
NULL;3032;NULL;przebudową fabryczną wojskowych statków kosmicznych.;NULL;Dane_syntetyczne_1
NULL;3032;NULL;produkcją siedzeń do wojskowych statków powietrznych.;NULL;Dane_syntetyczne_1
NULL;3032;NULL;produkcją myśliwców.;NULL;Dane_syntetyczne_1
"MIROSŁAW CZUBIŃSKI ""CZUBIŃSKI-DRUK""";1812;1721 , 1729 , 1812Z;Branża: Poligrafia | Produkty: Brak | Usługi: Druk cyfrowy, druk UV LED | --- | Branża: Drukarnia | Produkty: Brak | Usługi: Zastosowanie technologii suszenia UV pozwala na szybkie realizowanie zleceń oraz uszlachetnianie druku poprzez różnego rodzaju lakiery. | --- | Branża: Turystyka | Produkty: Brak | Usługi: Brak | --- | Branża: Tłumaczenia | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
