,kod_pkd,opis,labels
23406,1627,polerowaniem ozdobnych rzeźb drewnianych,69
97784,2892,wykonawca w zakresie maszyn rolniczych i innych podobnych narzędzi.,216
21678,1624,wytwarzaniem beczek z drewna modrzewiowego,66
77517,2370,przecinarka do granitu. polerowanie granitu. cięcie w granicie.,138
103398,1011,rozbiór mięsa własnymi narzędziami.,0
46159,2620,firma zajmuje się produkcją serwerów baz danych.,182
3663,1610,"branża: drewno i wyroby z drewna | produkty: tarcica, drewno konstrukcyjne, gallanteria drzewna, sztachety, elementy strugane | usługi: impregnacja drewna metodą zanurzeniową",60
69177,2351,firma zajmuje się produkcja cementu portlandzkiego białego,129
67393,2225,firma zajmuje się wykonywaniem kolorowych nadruków na plastiku,111
20403,1622,wytwarzaniem paneli parkietowych o wzorze jodły,64
40112,1396,firma zajmuje się produkcja tkanin powlekanych żywicą,41
48884,1721,firma zajmuje się produkcja papieru falistego przeznaczonego do opakowań przemysłowych,74
12329,2223,produkcja osłon okiennych z tworzywa,109
18390,2060,produkcja włókien tekstylnych chemicznych do dywanów,101
43323,2434,firma zajmuje się produkcją drutu ciągnionego na zimno ze stali żaroodpornej.,147
39011,1105,firma zajmuje się projektowaniem receptur piwnych,29
21609,1612,równaniem elementów konstrukcji meblowych,62
2132,3100,wykańczaniem mebli (politurowanie).,238
48711,1712,firma zajmuje się produkcja technicznego papieru do szablonów w rolach,73
98102,3109,"projektowanie i produkcja wysokiej jakości mebli, stolarki.",242
39774,1391,firma zajmuje się produkcja dzianin ogniotrwałych,36
22979,2446,produkcją dyspersji uranu dla celów badawczych.,153
105754,2529,projektowanie i produkcja zbiorników ze stali nierdzewnej. zbiorniki wykorzystywane są w zakładach magazynowania i/lub uzdatniania wody.,162
80211,1071,ekologiczna piekarnia z porcjami i produktami spożywczymi.,13
26633,2562,branża: obróbka metali | produkty: brak | usługi: obróbka metalu i tworzyw sztucznych,170
69018,2345,firma zajmuje się produkcja ceramicznych pojemników na nabiał,127
16961,2399,produkcją materiałów izolujących cieplnie.,141
3929,1081,produkcja cukru rafinowanego,16
9347,3316,konserwacją kadłubów samolotów rolniczych.,257
23806,2222,produkcja plastikowych opakowań dla zabawek (bez samych zabawek),108
26806,2910,produkcją zamiatarek dla lotnisk.,223
78596,1812,nadruk winylowy/sublimacyjny. import materiałów eksploatacyjnych. doradztwo i budowanie zespołu dla stoczni i przemysłu naftowego na lądzie i na morzu,81
46727,2332,produkcja dachówek historycznych,122
67345,2225,firma zajmuje się cięciem i obróbką paneli pcv,111
7127,1106,produkcja słodów bezglutenowych,30
55746,2811,firma zajmuje się produkcją turbin do napędu sprężarek.,200
24466,2732,produkcją przewodów do instalacji przemysłowych.,194
30906,1013,firma zajmuje się produkcja wędlin z mięsa wieprzowego,2
81884,1394,serwis wędkarski. obsługa gospodarstwa.,39
84852,3250,"handel i inwestycje w nieruchomości, papiery wartościowe i inne aktywa.",249
20831,2442,produkcją aluminium niestopowego dla zastosowań kriogenicznych.,149
26492,2511,produkcją metalowych podkonstrukcji dla systemów paneli.,158
